Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Morgan, B.J., Daughtry, C.S.T., Russ, A.L., Dulaney, W.P., Gish, T.J., Pachepsky, Y.A.",57212347755;7005954897;7004679539;6507754587;57204371663;7005291411;,Effect of shallow subsurface flow pathway networks on corn yield spatial variation under different weather and nutrient management,2019,International Agrophysics,33,2,,271,276,,3,10.31545/INTAGR/109546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091145800&doi=10.31545%2fINTAGR%2f109546&partnerID=40&md5=7aed3931e844b1625d65c7c6b82496cb,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091145800
"Das, A.K., Hassanzadeh, H.",57214781477;55909079400;,Pressure transient behavior of unconventional reservoirs: Combined effect of spatial variation and stress-dependence of formation permeability,2019,"SPE/AAPG/SEG Asia Pacific Unconventional Resources Technology Conference 2019, APUR 2019",,,,,,,,10.15530/ap-urtec-2019-198273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085668597&doi=10.15530%2fap-urtec-2019-198273&partnerID=40&md5=2830f6a1761ad0dfee49d778057db9ac,Conference Paper,Final,,Scopus,2-s2.0-85085668597
"Wigwe, M.E., Watson, M.C., Giussani, A., Nasir, E., Dambani, S.",57189380554;55596823300;57211205381;54405103800;56453471100;,Application of geographically weighted regression to model the effect of completion parameters on oil production – Case study on unconventional wells,2019,"Society of Petroleum Engineers - SPE Nigeria Annual International Conference and Exhibition 2019, NAIC 2019",,,,,,,9,10.2118/198847-MS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084013426&doi=10.2118%2f198847-MS&partnerID=40&md5=5feb312c01c5930256f5426f311a8b65,Conference Paper,Final,,Scopus,2-s2.0-85084013426
"Park, H.T., Shin, J.H., Han, S.J.",57141047700;57210807784;55487873800;,Assessing walkability premium for residential land value in urban regeneration area: A case of seoul station area,2019,"12th International Space Syntax Symposium, SSS 2019",,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083953148&partnerID=40&md5=81e533d78d21ee41b2e232c2590b1693,Conference Paper,Final,,Scopus,2-s2.0-85083953148
"Chen, E., Ye, Z., Bi, H.",57204331985;57205084818;57215673399;,Incorporating smart card data in spatio-temporal analysis of metro travel distances,2019,Sustainability (Switzerland),11,24,7069,,,,2,10.3390/su11247069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082939814&doi=10.3390%2fsu11247069&partnerID=40&md5=fa25648c711e2df5df57b0e5542cc148,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85082939814
"MacKu, K., Voženílek, V.",57196278159;55948908900;,Statistical synthesis of quality of life indicators-design of index construction in European regions [Statistická syntéza indikátorů kvality života-návrh tvorby indexu v evropských regionech],2019,Geographia Cassoviensis,13,2,,196,209,,1,10.33542/GC2019-2-06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080038450&doi=10.33542%2fGC2019-2-06&partnerID=40&md5=2c7d2ec0420b6082c85abd5bd9a57f1c,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85080038450
"Hao, L., Yuan, L.",57214075336;57214089586;,Spatial downscaling of TRMM precipitation data in areas of complex terrain: A case study in sichuan province,2019,Chinese Journal of Agrometeorology,40,10,,607,619,,,10.3969/j.issn.1000-6362.2019.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078165784&doi=10.3969%2fj.issn.1000-6362.2019.10.001&partnerID=40&md5=6104eed6fc67b66e5f18bc4a7de81a55,Article,Final,,Scopus,2-s2.0-85078165784
"Sottini, V.A., Barbierato, E., Bernetti, I., Capecchi, I., Fabbrizzi, S., Menghini, S.",57208116343;57210319768;6507189173;23468501000;56024545500;54988445100;,Rural environment and landscape quality: An evaluation model integrating social media analysis and geostatistics techniques,2019,Aestimum,74,,,43,62,,3,10.13128/aestim-7379,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077889848&doi=10.13128%2faestim-7379&partnerID=40&md5=e151fee5d6dea1e8460692964d385fe4,Article,Final,,Scopus,2-s2.0-85077889848
"Chen, Y., Zhang, R., Ge, Y., Jin, Y., Xia, Z.",56084228300;57213199065;26655529300;57225874354;57201394564;,Downscaling Census Data for Gridded Population Mapping with Geographically Weighted Area-To-Point Regression Kriging,2019,IEEE Access,7,,8863891,149132,149141,,5,10.1109/ACCESS.2019.2945000,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077708505&doi=10.1109%2fACCESS.2019.2945000&partnerID=40&md5=6bf6fee5da38aafad50401532a56019d,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85077708505
"Shtein, A., Kloog, I., Schwartz, J., Silibello, C., Michelozzi, P., Gariazzo, C., Viegi, G., Forastiere, F., Karnieli, A., Just, A.C., Stafoggia, M.",57202230559;23667564700;7404276367;22136612400;57190044905;56281048300;7007103216;57223453855;56187199400;35316130500;13608072800;,Estimating Daily PM2.5 and PM10 over Italy Using an Ensemble Model,2019,Environmental Science and Technology,,,,,,,24,10.1021/acs.est.9b04279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076801146&doi=10.1021%2facs.est.9b04279&partnerID=40&md5=6e625f74d4076cd59e1d5032e02aec4a,Article,Article in Press,,Scopus,2-s2.0-85076801146
"Zymaroieva, A., Zhukov, O., Fedonyuk, T., Pinkin, A.",57212559643;56377125500;57213817165;57212344384;,Application of geographically weighted principal components analysis based on soybean yield spatial variation for agro-ecological zoning of the territory,2019,Agronomy Research,17,6,,2460,2473,,7,10.15159/AR.19.208,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076457571&doi=10.15159%2fAR.19.208&partnerID=40&md5=54c7254f73ffe209905729baa71f2824,Article,Final,,Scopus,2-s2.0-85076457571
"Komal Kumar, N., Lakshmi Tulasi, R., Vigneswari, D.",57212324259;56422406600;57203924588;,"Investigating dengue outbreak in Tamil Nadu, India",2019,Indonesian Journal of Electrical Engineering and Computer Science,18,1,,502,507,,,10.11591/ijeecs.v18.i1.pp502-507,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075568328&doi=10.11591%2fijeecs.v18.i1.pp502-507&partnerID=40&md5=f91b4c6504a91f6068c497821cc97865,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85075568328
"Xia, S., Zhao, Y., Xu, X., Wen, Q., Song, Y., Gui, P.",57202056991;17136491200;57195727586;56272387700;57208422882;57211979319;,Spatiotemporal dynamics and driving factor analysis of agricultural carbon emissions rate in China from 1997 to 2016,2019,Shengtai Xuebao/ Acta Ecologica Sinica,39,21,,7854,7865,,3,10.5846/stxb201806041258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075552699&doi=10.5846%2fstxb201806041258&partnerID=40&md5=0e424606b311a9e36202925fb0f8c3b1,Article,Final,,Scopus,2-s2.0-85075552699
"Park, J., Choi, B., Lee, J.",57211901305;57061404400;36072670100;,Spatial distribution characteristics of species diversity using geographically weighted regression model,2019,Sensors and Materials,31,10,,3197,3213,,1,10.18494/SAM.2019.2300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075269984&doi=10.18494%2fSAM.2019.2300&partnerID=40&md5=48c3aeca9713192c2f96c285bb5da4ca,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85075269984
"Hiebert, J., Allen, K.",57211557943;57132054500;,"Valuing environmental amenities across space: A geographicallyweighted regression of housing preferences in Greenville County, SC",2019,Land,8,10,147,,,,1,10.3390/land8100147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074420672&doi=10.3390%2fland8100147&partnerID=40&md5=59a8f66db9ba6acd05cce59022f94b66,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85074420672
"Dawod, G.M., Abdel-Aziz, T.M.",24490509200;57194443804;,Utilization of geographically weighted regression for geoid modelling in Egypt,2019,Journal of Applied Geodesy,,,,,,,1,10.1515/jag-2019-0009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074412229&doi=10.1515%2fjag-2019-0009&partnerID=40&md5=2a2a1b0af127423ead8fd738b254363d,Article,Article in Press,,Scopus,2-s2.0-85074412229
"Msimango, N., Olowe, K.O., Adu, J.T., Kumarasamy, M.",57211520858;57208973533;57172647600;23982817900;,Evaluation on the possibility of using greywater recycling systems in UKZn residential halls,2019,Indian Journal of Environmental Protection,39,9,,793,800,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074283725&partnerID=40&md5=2364244d324cca3100207c3b68675cf2,Article,Final,,Scopus,2-s2.0-85074283725
"Liu, C., Liu, J., Jiao, Y., Tang, Y., Reid, K.B.",57196115587;57211479377;35769327800;52464652200;15053776900;,Exploring spatial nonstationary environmental effects on Yellow Perch distribution in Lake Erie,2019,PeerJ,2019,7,,,,,4,10.7717/peerj.7350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074075649&doi=10.7717%2fpeerj.7350&partnerID=40&md5=9de6586ab77934aad8710bb1efbb278b,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85074075649
"Little, M., Peplow, S.",57211472202;24171779100;,"A validation of England's nineteenth century tithe files, using GIS as a primary tool",2019,International Journal of Humanities and Arts Computing,13,01-Feb,,116,135,,,10.3366/ijhac.2017.0186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074065858&doi=10.3366%2fijhac.2017.0186&partnerID=40&md5=1a848547e9c1353bdeb543e478aa4447,Article,Final,,Scopus,2-s2.0-85074065858
"Xu, D., Gao, J.",55683669400;55702597900;,Comparative Analysis Of Land Surface Temperature And Land Cover Based On Geographically Weighted Regression,2019,Applied Ecology and Environmental Research,17,5,,12623,12638,,,10.15666/aeer/1705_1262312638,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073758835&doi=10.15666%2faeer%2f1705_1262312638&partnerID=40&md5=78e2d5fffac6c669f9cf16953e487fcc,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85073758835
"Trevisan, R.G., Bullock, D.S., Martin, N.F.",35280956600;35366018600;56528820100;,Site-specific treatment responses in on-farm precision experimentation,2019,"Precision Agriculture 2019 - Papers Presented at the 12th European Conference on Precision Agriculture, ECPA 2019",,,,925,931,,3,10.3920/978-90-8686-888-9_114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073714096&doi=10.3920%2f978-90-8686-888-9_114&partnerID=40&md5=92f48e25e7d735687f5be7c1edb2218e,Conference Paper,Final,,Scopus,2-s2.0-85073714096
"Wu, Z., Zhao, Y., Cheng, D., Chen, J.",55416196300;41162225500;57220824232;56057815800;,Spatial analysis of the effect of soil-testing-based-formulated-fertilization of wheat based on geographically weighted regression,2019,Acta Pedologica Sinica,56,4,,860,872,,,10.11766/trxb201806060230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073449050&doi=10.11766%2ftrxb201806060230&partnerID=40&md5=e990aa9c20bdf5f9a92d1f66ca1f064f,Article,Final,,Scopus,2-s2.0-85073449050
"Pramai, P., Thanasukarn, P., Thongsook, T., Jannoey, P., Chen, F., Jiamyangyuen, S.",57191874910;13004618100;8390415100;34876777700;57210577087;7801631893;,Glutamate decarboxylase (GAD) extracted from germinated rice: enzymatic properties and its application in soymilk,2019,Journal of Nutritional Science and Vitaminology,65,,,S166,S170,,2,10.3177/jnsv.65.S166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073445243&doi=10.3177%2fjnsv.65.S166&partnerID=40&md5=ff92ab452301322504694d2156f282e5,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85073445243
"Pina, T.D.C., Costa, A.C.",57211288055;35236725900;,Modelling brussels bike-sharing open data using spatial regression models,2019,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",19,2.2,,923,930,,,10.5593/sgem2019/2.2/S11.114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073367887&doi=10.5593%2fsgem2019%2f2.2%2fS11.114&partnerID=40&md5=db1fd65b65320eb6f8c4dcea1a5e9da6,Conference Paper,Final,,Scopus,2-s2.0-85073367887
"Mao, C., Zhang, L.",55826487900;57190003978;,Spatial Characteristics and Influencing Mechanism of Housing Price in Polycentric Mountainous City: A Case Study of Chongqing Central City,2019,ICCREM 2019: Innovative Construction Project Management and Construction Industrialization - Proceedings of the International Conference on Construction and Real Estate Management 2019,,,,748,758,,,10.1061/9780784482308.087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072912790&doi=10.1061%2f9780784482308.087&partnerID=40&md5=d84ca2b172499d7ea2ce1e01c7f08cc6,Conference Paper,Final,,Scopus,2-s2.0-85072912790
"Chan, J., Polo, A., Zubizarreta, E., Bourque, J.-M., Hanna, T.P., Gaudet, M., Dennis, K., Brundage, M., Slotman, B., Abdel-Wahab, M.",57208442637;57224747045;6603081805;37008857500;22937816000;56012211300;36617053700;7003574359;35451427300;7102582532;,Access to radiotherapy and its association with cancer outcomes in a high-income country: Addressing the inequity in Canada,2019,Radiotherapy and Oncology,,,,,,,3,10.1016/j.radonc.2019.09.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072757485&doi=10.1016%2fj.radonc.2019.09.009&partnerID=40&md5=3bc1e4baf922dbc6c09d2789c902d609,Article,Article in Press,"All Open Access, Bronze",Scopus,2-s2.0-85072757485
"Saifudin, T., Suliyanto, Ana, E.",55639625400;57207017129;57211093811;,Development of geographically weighted regression using polynomial function approach and its application on life expectancy data,2019,"International Journal of Innovation, Creativity and Change",5,3,,271,289,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072634331&partnerID=40&md5=392cb39732d0daac0b476ec527ec6bf4,Article,Final,,Scopus,2-s2.0-85072634331
"Alvarado-Barrera, R., Pompa-García, M., Zúñiga-Vásquez, J.M., Jiménez-Casas, M.",57211080386;56000879900;57194277985;55837623600;,Spatial analysis of phenotypic variables in a clonal orchard of Pinus arizonica Engelm. In northern Mexico [Análisis espacial de las variables fenotípicas en un huerto clonal de Pinus arizonica Engelm. en el norte de México],2019,"Revista Chapingo, Serie Ciencias Forestales y del Ambiente",25,2,,185,199,,2,10.5154/r.rchscfa.2018.11.086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072603802&doi=10.5154%2fr.rchscfa.2018.11.086&partnerID=40&md5=834d5a7e6269c12a412fd0a188fc4e99,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85072603802
"Han, Y., Guo, X., Jiang, Y., Rao, L., Sun, K., Li, J., Wang, L.",57201031778;55202834800;57195364774;57195368187;57198722326;57198892133;57198890318;,Cultivated land landscape ecological security: Influencing factors and spatial differences in the hilly region of South China,2019,Shengtai Xuebao/ Acta Ecologica Sinica,39,17,,6522,6533,,7,10.5846/stxb201804210908,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072568446&doi=10.5846%2fstxb201804210908&partnerID=40&md5=8f53079f863a55c448dcc7c23a6bbe89,Article,Final,,Scopus,2-s2.0-85072568446
"Muylaert, R.L., Bovendorp, R.S., Sabino-Santos Jr, G., Prist, P.R., Melo, G.L., De Fátima Priante, C., Wilkinson, D.A., Ribeiro, M.C., Hayman, D.T.S.",56115267900;16062979700;55969471400;55043198500;42161829200;57211507309;55931275000;26321928900;24376017100;,Hantavirus host assemblages and human disease in the Atlantic Forest,2019,PLoS Neglected Tropical Diseases,13,8,e0007655,,,,2,10.1371/journal.pntd.0007655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072355134&doi=10.1371%2fjournal.pntd.0007655&partnerID=40&md5=35c0f9b619b8da8f07ecc9a0bd26a93b,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85072355134
"Xiao, D., Xu, X., Duan, L.",8452567300;55612623100;57200213802;,Spatial-Temporal Analysis of Injury Severity with Geographically Weighted Panel Logistic Regression Model,2019,Journal of Advanced Transportation,2019,,8521649,,,,5,10.1155/2019/8521649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071915054&doi=10.1155%2f2019%2f8521649&partnerID=40&md5=b6658b4b8a42a63c9d624cbfbd3ab93b,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85071915054
"Zheng, Z., Yang, Z., Wu, Z., Marinello, F.",57200692619;57206666469;55608513400;16230574000;,Spatial variation of NO2 and its impact factors in China: An application of sentinel-5P products,2019,Remote Sensing,11,16,1939,,,,29,10.3390/rs11161939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071583401&doi=10.3390%2frs11161939&partnerID=40&md5=dcffc97305bc9904a685166c3d5f0af6,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85071583401
"He, K., Huang, X., Ding, J., Liu, Q., Jiang, Y.",22955143400;55928970900;56542232500;56297111000;56424220600;,Spatial variations in water quality and their correspondence with ecoregions of the Dongjiang River basin using geographically weighted regression (GWR),2019,Shengtai Xuebao/ Acta Ecologica Sinica,39,15,,5483,5493,,,10.5846/stxb201807141530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071392842&doi=10.5846%2fstxb201807141530&partnerID=40&md5=4f3861b3702184eb9b664f2c18ef37a1,Article,Final,,Scopus,2-s2.0-85071392842
"Ahmadi, M., Shakiba, A.R., Dadashi Roudbari, A.A.",57197065196;55349526700;57189897407;,Investigating the role of vegetation indices and geographic components on seasonal aerosol optical depth over Iran,2019,Journal of the Earth and Space Physics,45,1,,211,233+14,,1,10.22059/JESPHYS.2018.260582.1007019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070531389&doi=10.22059%2fJESPHYS.2018.260582.1007019&partnerID=40&md5=9b5f4d65537659dbca214b72c10b5221,Article,Final,,Scopus,2-s2.0-85070531389
"Meng, G.-L., Luan, D.-T., Tai, Z.-J., Deng, J.-F., Han, J.-Q., Zhou, Y.-M.",57210377733;57201908461;57210372436;57212049913;55823739900;57210572003;,Effects of Different Substrate Ratios on the Growth and Physiology of Sequoia sempervirens Container Seedlings,2019,Compost Science and Utilization,27,3,,169,177,,1,10.1080/1065657X.2019.1630340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070518518&doi=10.1080%2f1065657X.2019.1630340&partnerID=40&md5=b8fe74f7e34ee67df07450ca6b85013a,Article,Final,,Scopus,2-s2.0-85070518518
"Lyu, C., Wang, Y., Xia, Y., Liu, Z., Wang, W.",57209302057;57210325220;56033843800;55714726500;56948437900;,Spatial analysis of the relationship between urban built environment and public bicycle ridership,2019,CICTP 2019: Transportation in China - Connecting the World - Proceedings of the 19th COTA International Conference of Transportation Professionals,,,,5948,5960,,,10.1061/9780784482292.511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070283424&doi=10.1061%2f9780784482292.511&partnerID=40&md5=eb3aa27323409398975a1c3d1b7c0662,Conference Paper,Final,,Scopus,2-s2.0-85070283424
"Janoušek, Z., Papaj, V., Brázda, J.",57197267426;56540009000;57210310860;,Land protection versus planned land consumption: An example of the Hradec Králové Region,2019,Soil and Water Research,14,3,,138,144,,,10.17221/102/2018-SWR,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070275529&doi=10.17221%2f102%2f2018-SWR&partnerID=40&md5=52d1efd3ab8cf323f819f360877b04c3,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85070275529
"Ling, W., Chen, Q., Li, W.",57210315606;57221047305;57210313299;,"Assessing public transit supply from a demand-oriented perspective: A case study of Chengdu, China",2019,CICTP 2019: Transportation in China - Connecting the World - Proceedings of the 19th COTA International Conference of Transportation Professionals,,,,1505,1516,,,10.1061/9780784482292.132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070254400&doi=10.1061%2f9780784482292.132&partnerID=40&md5=1e8045fe72f538ef226e82f6d468b9bd,Conference Paper,Final,,Scopus,2-s2.0-85070254400
"Mahavishnu, V.C., Rajkumar, Y., Ramya, D., Preethi, M.",57210289682;57210287074;57203978231;57213454343;,Efficient GWR Solution by TR and CA,2019,Communications in Computer and Information Science,1035,,,484,492,,1,10.1007/978-981-13-9181-1_43,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070220742&doi=10.1007%2f978-981-13-9181-1_43&partnerID=40&md5=fdd76dc364fc912f34b8d146f24eed00,Conference Paper,Final,,Scopus,2-s2.0-85070220742
"Gao, Y., Zhao, M., Wang, H., Xiong, M., Zhao, T.",57210292957;15133691200;57218524486;57210283047;57193959102;,Analysis of spatial differentiation of grassland ecological quality and its affecting factors based on landscape ecology perspective:A case study of Siziwang Banner,2019,Shengtai Xuebao/ Acta Ecologica Sinica,39,14,,5288,5300,,1,10.5846/stxb201809091928,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070215216&doi=10.5846%2fstxb201809091928&partnerID=40&md5=a4232fca9830938f8c8efbafff75d088,Article,Final,,Scopus,2-s2.0-85070215216
"Wu, C., Liu, Q., Ma, G., Liu, G., Yu, F., Huang, C., Zhao, Z., Liang, L.",57191857598;55712158600;15132221800;55794904400;49964831200;35226469400;57214266302;57206898189;,A study of the spatial difference of the soil quality of the Mun River basin during the rainy season,2019,Sustainability (Switzerland),11,12,3423,,,,5,10.3390/SU11123423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069884089&doi=10.3390%2fSU11123423&partnerID=40&md5=a5ce69ba160d250cdd14c7d6b7824551,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85069884089
"Horák, J., Orlíková, L.",18036987500;56462854700;,Spatial component in regression modelling of unemployment in Czechia,2019,SMSIS 2019 - Proceedings of the 13th International Conference on Strategic Management and Its Support by Information Systems,,,,116,130,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069538833&partnerID=40&md5=9af03dde8cb45096b454c4da694a1ca5,Conference Paper,Final,,Scopus,2-s2.0-85069538833
"Chocholatá, M.",14049686000;,"Beta-convergence of the EU regions, 2004-2014: The GWR approach",2019,SMSIS 2019 - Proceedings of the 13th International Conference on Strategic Management and Its Support by Information Systems,,,,131,138,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069522308&partnerID=40&md5=8f4907486da5ae7e635d16ac2820bdf1,Conference Paper,Final,,Scopus,2-s2.0-85069522308
"Dewi, Y.S., Purhadi, Sutikno, Purnami, S.W.",56958541500;54917567400;57195569046;25825438700;,Comparison of Nelder Mead and BFGS algorithms on geographically weighted multivariate negative binomial,2019,"International Journal on Advanced Science, Engineering and Information Technology",9,3,,979,987,,2,10.18517/ijaseit.9.3.6932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068368082&doi=10.18517%2fijaseit.9.3.6932&partnerID=40&md5=5f742515f31956558bb9f1c8b74a9468,Article,Final,,Scopus,2-s2.0-85068368082
"Liu, H., Lee, M., Khattak, A.J.",56688723900;57189900948;7005819285;,Updating Annual Average Daily Traffic Estimates at Highway-Rail Grade Crossings with Geographically Weighted Poisson Regression,2019,Transportation Research Record,,,,,,,,10.1177/0361198119844976,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067842963&doi=10.1177%2f0361198119844976&partnerID=40&md5=da266d81157ef702153045815dd29940,Article,Article in Press,,Scopus,2-s2.0-85067842963
"Nicholls, S., Kim, J.",7007131962;56392161300;,Spatial Is Special: The Need to Consider Spatial Effects in Leisure Research,2019,Leisure Sciences,,,,,,,2,10.1080/01490400.2019.1600441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067598752&doi=10.1080%2f01490400.2019.1600441&partnerID=40&md5=4c9eac9b4422b676e156359e816c677d,Article,Article in Press,"All Open Access, Green",Scopus,2-s2.0-85067598752
"Ribeiro, R.M., Amaral, S., Monteiro, A.M.V., Dal’Asta, A.P.",57209367525;7004745915;7102146079;57202511422;,The urbanization and forest conversion processes in the paraense amazon-a multiescalar study [Os processos de urbanização e conversão florestal na Amazônia paraense-um estudo multiescalar],2019,Revista Brasileira de Estudos de Populacao,35,3,e0068,1,30,,1,10.20947/S102-3098A0068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067564832&doi=10.20947%2fS102-3098A0068&partnerID=40&md5=82d129beb2e1b1c59cf5087062e13730,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85067564832
"Mansori, K., Solaymani-Dodaran, M., Mosavi-Jarrahi, A., Motlagh, A.G., Salehi, M., Delavari, A., Hosseini, A., Asadi-Lari, M.",56607308200;12771368600;55874952200;57193450114;56293793700;14007282700;56196079300;6603191961;,Determination of effective factors on geographic distribution of the incidence of colorectal cancer in Tehran using geographically weighted Poisson regression model,2019,Medical Journal of the Islamic Republic of Iran,33,1,,133,142,,,10.341711/mjiri.33.23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067549022&doi=10.341711%2fmjiri.33.23&partnerID=40&md5=5f10e0c0e42b789d807a1ddaf0eea8f9,Article,Final,,Scopus,2-s2.0-85067549022
"Buck, C., Bolbos, A., Schneider, S.",36162761500;57205648204;56988406600;,"Do poorer children have poorer playgrounds? A geographically weighted analysis of attractiveness, cleanliness, and safety of playgrounds in affluent and deprived urban neighborhoods",2019,Journal of Physical Activity and Health,16,6,,397,405,,2,10.1123/jpah.2018-0177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067374629&doi=10.1123%2fjpah.2018-0177&partnerID=40&md5=0dfc2dfbe16fb3f42cc95e1de1843d5f,Article,Final,,Scopus,2-s2.0-85067374629
"Yoshida, S., Yagi, H., Kiminami, A.",57158069800;55504680700;8369671300;,Determinants of farm diversification in peri-urban agriculture: Spatial econometric analysis with municipality-level data from the kanto region,2019,Studies in Regional Science,49,1,,17,31,,2,10.2457/srs.49.17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067090766&doi=10.2457%2fsrs.49.17&partnerID=40&md5=87eafe1c623471c37bcce6e1f2fc4d8c,Article,Final,,Scopus,2-s2.0-85067090766
"Kumagai, K., Uematsu, H.",55202224400;57195535908;,Analysis of relationship between vegetation distribution and land price using multitemporal data,2019,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",42,3/W7,,41,45,,1,10.5194/isprs-archives-XLII-3-W7-41-2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066466228&doi=10.5194%2fisprs-archives-XLII-3-W7-41-2019&partnerID=40&md5=a9561ff403654676042113cc01fe7947,Conference Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85066466228
"Li, F., Zheng, W., Wang, Y., Liang, J., Xie, S., Guo, S., Li, X., Yu, C.",56991599800;56734994300;55999584400;57193519924;57208821100;57202449765;56994055100;57204641297;,Urban Green Space Fragmentation and urbanization: A spatiotemporal perspective,2019,Forests,10,4,333,,,,17,10.3390/f10040333,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065865552&doi=10.3390%2ff10040333&partnerID=40&md5=49e6c10c5425265f72cd025467caa4d4,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85065865552
"Ren, H., Wu, W., Li, T., Yang, Z.",57192162510;57203362204;55728944100;56565728400;,"Urban villages as transfer stations for dengue fever epidemic: A case study in the Guangzhou, China",2019,PLoS Neglected Tropical Diseases,13,4,e0007350,,,,11,10.1371/journal.pntd.0007350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065810685&doi=10.1371%2fjournal.pntd.0007350&partnerID=40&md5=191af8e2e3cd93d9c174efbc3acd74ae,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85065810685
"Danko, J.J.",57193085451;,Local population and housing changes associated with destination redevelopments in Detroit (1990-2010): a geographically weighted shift-share analysis,2019,Urban Geography,40,7,,1018,1029,,2,10.1080/02723638.2019.1609853,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065654654&doi=10.1080%2f02723638.2019.1609853&partnerID=40&md5=10ce50d6f1eba3b8c1ae0f4e3cc6ba62,Article,Final,,Scopus,2-s2.0-85065654654
